rule,n,image_ratio
0,14,6.103515625e-05
1,14,0.0513916015625
2,14,0.01287841796875
3,14,0.16033935546875
4,14,0.05145263671875
5,14,0.15875244140625
6,14,0.184326171875
7,14,0.38092041015625
8,14,0.01287841796875
9,14,0.17230224609375
10,14,0.05133056640625
11,14,0.16033935546875
12,14,0.05145263671875
13,14,0.2027587890625
14,14,0.30950927734375
15,14,1.0
16,14,0.01287841796875
17,14,0.16033935546875
18,14,0.1346435546875
19,14,0.16033935546875
20,14,0.184326171875
21,14,0.38092041015625
22,14,0.50689697265625
23,14,0.201904296875
24,14,0.05133056640625
25,14,0.45001220703125
26,14,0.42987060546875
27,14,0.3094482421875
28,14,0.30950927734375
29,14,0.3095703125
30,14,0.95037841796875
31,14,0.38092041015625
32,14,0.05145263671875
33,14,0.2027587890625
34,14,0.05145263671875
35,14,0.38092041015625
36,14,0.13470458984375
37,14,0.47991943359375
38,14,0.3094482421875
39,14,0.3094482421875
40,14,0.184326171875
41,14,0.4437255859375
42,14,0.30950927734375
43,14,0.3095703125
44,14,0.3094482421875
45,14,0.9921875
46,14,0.0513916015625
47,14,0.16033935546875
48,14,0.05145263671875
49,14,0.38092041015625
50,14,0.30950927734375
51,14,1.0
52,14,0.3094482421875
53,14,0.3094482421875
54,14,0.38079833984375
55,14,0.16033935546875
56,14,0.30950927734375
57,14,0.4539794921875
58,14,0.380859375
59,14,0.38092041015625
60,14,0.5
61,14,0.45001220703125
62,14,0.47222900390625
63,14,0.16033935546875
64,14,0.01287841796875
65,14,0.17230224609375
66,14,0.05133056640625
67,14,0.45001220703125
68,14,0.05145263671875
69,14,0.2027587890625
70,14,0.30950927734375
71,14,0.3095703125
72,14,0.1346435546875
73,14,0.42620849609375
74,14,0.42987060546875
75,14,0.9921875
76,14,0.30950927734375
77,14,0.201904296875
78,14,0.380859375
79,14,0.2027587890625
80,14,0.05133056640625
81,14,0.16033935546875
82,14,0.42987060546875
83,14,0.3094482421875
84,14,0.30950927734375
85,14,1.0
86,14,0.95037841796875
87,14,0.38092041015625
88,14,0.42987060546875
89,14,0.9921875
90,14,0.25
91,14,0.47991943359375
92,14,0.380859375
93,14,0.2027587890625
94,14,0.39971923828125
95,14,0.15875244140625
96,14,0.184326171875
97,14,0.4437255859375
98,14,0.30950927734375
99,14,0.4539794921875
100,14,0.3094482421875
101,14,0.9921875
102,14,0.5
103,14,0.45001220703125
104,14,0.50689697265625
105,14,1.0
106,14,0.95037841796875
107,14,0.4437255859375
108,14,0.38079833984375
109,14,0.42620849609375
110,14,0.47222900390625
111,14,0.17230224609375
112,14,0.30950927734375
113,14,0.3095703125
114,14,0.380859375
115,14,0.38092041015625
116,14,0.0513916015625
117,14,0.16033935546875
118,14,0.47222900390625
119,14,0.16033935546875
120,14,0.95037841796875
121,14,0.4437255859375
122,14,0.39971923828125
123,14,0.2027587890625
124,14,0.47222900390625
125,14,0.17230224609375
126,14,0.13470458984375
127,14,0.0513916015625
128,14,0.0513916015625
129,14,0.13470458984375
130,14,0.17230224609375
131,14,0.47222900390625
132,14,0.2027587890625
133,14,0.39971923828125
134,14,0.4437255859375
135,14,0.95037841796875
136,14,0.16033935546875
137,14,0.47222900390625
138,14,0.16033935546875
139,14,0.0513916015625
140,14,0.38092041015625
141,14,0.380859375
142,14,0.3095703125
143,14,0.30950927734375
144,14,0.17230224609375
145,14,0.47222900390625
146,14,0.42620849609375
147,14,0.38079833984375
148,14,0.4437255859375
149,14,0.95037841796875
150,14,1.0
151,14,0.50689697265625
152,14,0.45001220703125
153,14,0.5
154,14,0.9921875
155,14,0.3094482421875
156,14,0.4539794921875
157,14,0.30950927734375
158,14,0.4437255859375
159,14,0.184326171875
160,14,0.15875244140625
161,14,0.39971923828125
162,14,0.2027587890625
163,14,0.380859375
164,14,0.47991943359375
165,14,0.25
166,14,0.9921875
167,14,0.42987060546875
168,14,0.38092041015625
169,14,0.95037841796875
170,14,1.0
171,14,0.30950927734375
172,14,0.3094482421875
173,14,0.42987060546875
174,14,0.16033935546875
175,14,0.05133056640625
176,14,0.2027587890625
177,14,0.380859375
178,14,0.201904296875
179,14,0.30950927734375
180,14,0.9921875
181,14,0.42987060546875
182,14,0.42620849609375
183,14,0.1346435546875
184,14,0.3095703125
185,14,0.30950927734375
186,14,0.2027587890625
187,14,0.05145263671875
188,14,0.45001220703125
189,14,0.05133056640625
190,14,0.17230224609375
191,14,0.01287841796875
192,14,0.16033935546875
193,14,0.47222900390625
194,14,0.45001220703125
195,14,0.5
196,14,0.38092041015625
197,14,0.380859375
198,14,0.4539794921875
199,14,0.30950927734375
200,14,0.16033935546875
201,14,0.38079833984375
202,14,0.3094482421875
203,14,0.3094482421875
204,14,1.0
205,14,0.30950927734375
206,14,0.38092041015625
207,14,0.05145263671875
208,14,0.16033935546875
209,14,0.0513916015625
210,14,0.9921875
211,14,0.3094482421875
212,14,0.3095703125
213,14,0.30950927734375
214,14,0.4437255859375
215,14,0.184326171875
216,14,0.3094482421875
217,14,0.3094482421875
218,14,0.47991943359375
219,14,0.13470458984375
220,14,0.38092041015625
221,14,0.05145263671875
222,14,0.2027587890625
223,14,0.05145263671875
224,14,0.38092041015625
225,14,0.95037841796875
226,14,0.3095703125
227,14,0.30950927734375
228,14,0.3094482421875
229,14,0.42987060546875
230,14,0.45001220703125
231,14,0.05133056640625
232,14,0.201904296875
233,14,0.50689697265625
234,14,0.38092041015625
235,14,0.184326171875
236,14,0.16033935546875
237,14,0.1346435546875
238,14,0.16033935546875
239,14,0.01287841796875
240,14,1.0
241,14,0.30950927734375
242,14,0.2027587890625
243,14,0.05145263671875
244,14,0.16033935546875
245,14,0.05133056640625
246,14,0.17230224609375
247,14,0.01287841796875
248,14,0.38092041015625
249,14,0.184326171875
250,14,0.15875244140625
251,14,0.05145263671875
252,14,0.16033935546875
253,14,0.01287841796875
254,14,0.0513916015625
255,14,6.103515625e-05
