regime,mean,median,count
commute,0.2446433785035438,0.184326171875,1164
crystalline,0.14008106659027492,0.15875244140625,7302
drain,0.21443486469408674,0.16033935546875,4009
noisy,0.318651169043077,0.30950927734375,5414
structured,0.19481953901562818,0.17230224609375,14751
