seed,condition,comp_state,comp_rulefield,distinct_t0,distinct_final
19,uniform_110,0.8448,,,
19,frozen_random,0.1884,,,
19,frozen_mosaic,0.082,,,
19,gated_diffusion,0.1956,0.14650000000000002,80.0,15.0
19,read_from_state,0.244,,,
20,uniform_4,0.0272,,,
20,uniform_30,1.0044,,,
20,uniform_90,1.0044,,,
20,uniform_110,0.86,,,
20,frozen_random,0.3608,,,
20,frozen_mosaic,0.328,,,
20,gated_diffusion,0.17,0.11649999999999999,79.0,15.0
20,read_from_state,0.3164,,,
21,uniform_4,0.0268,,,
21,uniform_30,1.0044,,,
21,uniform_90,1.0044,,,
21,uniform_110,0.7536,,,
21,frozen_random,0.3152,,,
21,frozen_mosaic,0.0864,,,
21,gated_diffusion,0.11,0.08070000000000001,83.0,25.0
21,read_from_state,0.302,,,
22,uniform_4,0.0264,,,
22,uniform_30,1.0044,,,
22,uniform_90,1.0044,,,
22,uniform_110,0.7028,,,
22,frozen_random,0.1504,,,
22,frozen_mosaic,0.0548,,,
22,gated_diffusion,0.1824,0.1352,84.0,15.0
22,read_from_state,0.2648,,,
23,uniform_4,0.0264,,,
23,uniform_30,1.0044,,,
23,uniform_90,1.0044,,,
23,uniform_110,0.72,,,
23,frozen_random,0.094,,,
23,frozen_mosaic,0.0852,,,
23,gated_diffusion,0.16,0.11795,84.0,20.0
23,read_from_state,0.3204,,,
24,uniform_4,0.0264,,,
24,uniform_30,1.0044,,,
24,uniform_90,1.0044,,,
24,uniform_110,0.854,,,
24,frozen_random,0.1892,,,
24,frozen_mosaic,0.51,,,
24,gated_diffusion,0.2424,0.13174999999999998,82.0,19.0
24,read_from_state,0.3968,,,
25,uniform_4,0.0268,,,
25,uniform_30,1.0044,,,
25,uniform_90,1.0044,,,
25,uniform_110,0.7112,,,
25,frozen_random,0.164,,,
25,frozen_mosaic,0.0696,,,
25,gated_diffusion,0.1144,0.08729999999999999,82.0,21.0
25,read_from_state,0.3056,,,
26,uniform_4,0.0264,,,
26,uniform_30,1.0044,,,
26,uniform_90,1.0044,,,
26,uniform_110,0.608,,,
26,frozen_random,0.1568,,,
26,frozen_mosaic,0.1792,,,
26,gated_diffusion,0.1488,0.1163,85.0,19.0
26,read_from_state,0.2404,,,
27,uniform_4,0.0264,,,
27,uniform_30,1.0044,,,
27,uniform_90,1.0044,,,
27,uniform_110,0.8652,,,
27,frozen_random,0.1164,,,
27,frozen_mosaic,0.4736,,,
27,gated_diffusion,0.1236,0.10339999999999999,78.0,21.0
27,read_from_state,0.2636,,,
28,uniform_4,0.0264,,,
28,uniform_30,1.0044,,,
28,uniform_90,1.0044,,,
28,uniform_110,0.8288,,,
28,frozen_random,0.1392,,,
28,frozen_mosaic,0.3496,,,
28,gated_diffusion,0.1108,0.08524999999999999,90.0,25.0
28,read_from_state,0.2484,,,
29,uniform_4,0.0264,,,
29,uniform_30,1.0044,,,
29,uniform_90,1.0044,,,
29,uniform_110,0.92,,,
29,frozen_random,0.1448,,,
29,frozen_mosaic,0.0892,,,
29,gated_diffusion,0.0976,0.07915,85.0,28.0
29,read_from_state,0.2392,,,
30,uniform_4,0.0268,,,
30,uniform_30,1.0044,,,
30,uniform_90,1.0044,,,
30,uniform_110,0.9196,,,
30,frozen_random,0.3236,,,
30,frozen_mosaic,0.5092,,,
30,gated_diffusion,0.1252,0.10165,86.0,23.0
30,read_from_state,0.1328,,,
31,uniform_4,0.0264,,,
31,uniform_30,1.0044,,,
31,uniform_90,1.0044,,,
31,uniform_110,0.868,,,
31,frozen_random,0.1976,,,
31,frozen_mosaic,0.3556,,,
31,gated_diffusion,0.1676,0.1426,83.0,21.0
31,read_from_state,0.1552,,,
32,uniform_4,0.0264,,,
32,uniform_30,1.0044,,,
32,uniform_90,1.0044,,,
