rule,wolfram_class,compressibility_raw,compressibility_absential
0,I,0.019555555555555555,0.019555555555555555
4,II,0.05466666666666667,0.05555555555555555
30,III,1.004888888888889,0.9053333333333333
110,IV,0.9204444444444444,0.828
